y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
3.77,3,2.25,2600.0,14810.0,1.0,A0,2,8,1490,1110,2450.0,16715.0,59
2.03,3,1.75,2710.0,9088.0,1.0,A0,0,7,2060,650,,10454.0,50
5.66,4,2.5,2600.0,6015.0,2.0,A0,0,8,2600,0,2910.0,5305.0,11
2.31,3,1.5,1220.0,1086.0,3.0,A0,0,8,1220,0,1220.0,1422.0,8
7.949,6,4.5,2750.0,4400.0,2.0,A0,0,8,1770,980,1860.0,4400.0,28
1.2,3,1.0,1070.0,22489.0,1.0,A0,0,7,1070,0,1880.0,20250.0,48
6.18,4,2.5,2460.0,4425.0,2.0,A0,0,8,2460,0,,5659.0,9
11.625,4,4.5,5120.0,41327.0,2.0,A0,0,10,3290,1830,3360.0,82764.0,7
6.32,3,1.5,1980.0,4000.0,2.0,A0,0,8,1980,0,1980.0,3600.0,96
1.65,3,1.0,1230.0,2353.0,1.5,A0,0,6,1230,0,1280.0,1572.0,90
5.75,3,1.5,1320.0,8114.0,1.0,A0,0,8,1320,0,2110.0,8114.0,64
3.14,3,1.75,1400.0,10018.0,1.0,A0,0,7,1400,0,1350.0,9300.0,53
4.583,4,2.5,2770.0,,2.0,A0,0,9,2770,0,2500.0,21656.0,24
2.35,1,1.5,1120.0,912.0,3.0,A0,0,7,1120,0,1380.0,3200.0,4
4.55,3,1.5,1950.0,1963.0,3.0,A0,0,8,1950,0,1590.0,2028.0,13
7.04,5,2.25,2830.0,7738.0,2.0,A0,0,8,2830,0,,9840.0,38
3.75,3,1.75,1830.0,5488.0,1.0,A0,2,7,1010,820,1200.0,5488.0,76
2.94,3,2.5,1320.0,1683.0,2.0,A0,0,8,1270,50,1320.0,2206.0,11
2.0,4,2.5,2120.0,6754.0,2.0,A0,0,7,2120,0,2120.0,6937.0,17
1.26,3,1.0,1460.0,9750.0,1.0,A0,0,7,1460,0,1270.0,9750.0,46
7.125,4,1.75,1580.0,9382.0,1.0,A0,0,7,1080,500,2010.0,9382.0,52
6.3405,4,3.5,2720.0,,2.0,A0,0,8,2670,50,1960.0,7772.0,18
2.049,3,1.75,1580.0,6620.0,1.0,A0,0,7,1580,0,,8137.0,27
4.2,4,2.25,1940.0,9144.0,1.0,A0,0,7,1430,510,1460.0,9437.0,59
7.149,3,2.5,3420.0,25150.0,1.0,A0,0,10,1750,1670,2900.0,19604.0,28
4.2495,3,2.5,2370.0,12753.0,2.0,A0,0,7,2370,0,2280.0,16808.0,14
2.3495,4,2.75,2310.0,5000.0,2.0,A0,0,7,2310,0,1980.0,5000.0,9
6.64375,5,3.0,2640.0,3200.0,2.0,A0,0,7,2140,500,1540.0,2242.0,109
